read_code,cat_vision_1,cat_vision_2,cat_caliber_1,cat_phenotype_1,cat_opensafely_2,cat_res56_1,read_term_1,read_term_2
916E.,Unknown,NA,Ethnic group not specified,NA,NA,NA,Patient ethnicity unknown,NA
9i...,Unknown,NA,Ethnic group not specified,NA,NA,NA,Ethnic category - 2001 census,NA
9i0..,Unknown,NA,Ethnic group not specified,Mixed Other,NA,White,British or mixed British - ethnic category 2001 census,NA
9i00.,White,White: English or Welsh or Scottish or Northern Irish or British,White British,White British,NA,White,White British - ethnic category 2001 census,NA
9i1..,White,NA,White Irish,White Irish,NA,White,Irish - ethnic category 2001 census,NA
9i10.,White,White: Irish,White Irish,White Irish,NA,White,White Irish - ethnic category 2001 census,NA
9i2..,White,NA,White Other,White Other,NA,White,Other White background - ethnic category 2001 census,NA
9i20.,White,NA,White British,White British,NA,White,English - ethnic category 2001 census,NA
9i21.,White,NA,White British,White British,NA,White,Scottish - ethnic category 2001 census,NA
9i22.,White,NA,White British,White British,NA,White,Welsh - ethnic category 2001 census,NA
9i23.,White,NA,White British,White British,NA,NA,Cornish - ethnic category 2001 census,NA
9i24.,White,NA,White Irish,White Irish,NA,NA,Northern Irish - ethnic category 2001 census,NA
9i25.,White,NA,White NOS,White NOS,NA,NA,Ulster Scots - ethnic category 2001 census,NA
9i26.,Other,NA,White Other,White Other,NA,White,Cypriot (part not stated) - ethnic category 2001 census,NA
9i27.,Other,NA,White Other,White Other,NA,White,Greek - ethnic category 2001 census,NA
9i28.,Other,NA,White Other,White Other,NA,White,Greek Cypriot - ethnic category 2001 census,NA
9i29.,Other,NA,White Other,White Other,NA,White,Turkish - ethnic category 2001 census,NA
9i2A.,Other,NA,White Other,White Other,NA,White,Turkish Cypriot - ethnic category 2001 census,NA
9i2B.,Other,NA,White Other,White Other,NA,White,Italian - ethnic category 2001 census,NA
9i2C.,Unknown,White: Gypsy or Irish Traveller,White Irish,White Irish,NA,White,Irish Traveller - ethnic category 2001 census,NA
9i2D.,Unknown,White: Gypsy or Irish Traveller,White Other,White Other,NA,White,Traveller - ethnic category 2001 census,NA
9i2E.,Other,White: Gypsy or Irish Traveller,White Other,White Other,NA,White,Gypsy/Romany - ethnic category 2001 census,NA
9i2F.,Unknown,NA,White Other,White Other,NA,White,Polish - ethnic category 2001 census,NA
9i2G.,Other,NA,White Other,White Other,NA,NA,Baltic Estonian/Latvian/Lithuanian - ethn categ 2001 census,NA
9i2H.,Other,NA,White Other,White Other,NA,White,Commonwealth (Russian) Indep States - ethn categ 2001 census,NA
9i2J.,Other,NA,White Other,White Other,NA,White,Kosovan - ethnic category 2001 census,NA
9i2K.,Other,NA,White Other,White Other,NA,White,Albanian - ethnic category 2001 census,NA
