read_code,read_term,cat_final
9i0..,British or mixed British - ethnic category 2001 census,White
9i00.,White British - ethnic category 2001 census,White
9i1..,Irish - ethnic category 2001 census,White
9i10.,White Irish - ethnic category 2001 census,White
9i2..,Other White background - ethnic category 2001 census,White
9i20.,English - ethnic category 2001 census,White
9i21.,Scottish - ethnic category 2001 census,White
9i22.,Welsh - ethnic category 2001 census,White
9i23.,Cornish - ethnic category 2001 census,White
9i24.,Northern Irish - ethnic category 2001 census,White
9i25.,Ulster Scots - ethnic category 2001 census,White
9i26.,Cypriot (part not stated) - ethnic category 2001 census,White
9i27.,Greek - ethnic category 2001 census,White
9i28.,Greek Cypriot - ethnic category 2001 census,White
9i29.,Turkish - ethnic category 2001 census,White
9i2A.,Turkish Cypriot - ethnic category 2001 census,White
9i2B.,Italian - ethnic category 2001 census,White
9i2C.,Irish Traveller - ethnic category 2001 census,White
9i2D.,Traveller - ethnic category 2001 census,White
9i2E.,Gypsy/Romany - ethnic category 2001 census,White
9i2F.,Polish - ethnic category 2001 census,White
9i2G.,Baltic Estonian/Latvian/Lithuanian - ethn categ 2001 census,White
9i2H.,Commonwealth (Russian) Indep States - ethn categ 2001 census,White
9i2J.,Kosovan - ethnic category 2001 census,White
9i2K.,Albanian - ethnic category 2001 census,White
9i2L.,Bosnian - ethnic category 2001 census,White
9i2M.,Croatian - ethnic category 2001 census,White
9i2N.,Serbian - ethnic category 2001 census,White
9i2P.,Other republics former Yugoslavia - ethnic categ 2001 census,White
9i2Q.,Mixed Irish and other White - ethnic category 2001 census,White
9i2R.,Oth White European/European unsp/Mixed European 2001 census,White
9i2S.,Other mixed White - ethnic category 2001 census,White
9i2T.,Other White or White unspecified ethnic category 2001 census,White
9i3..,White and Black Caribbean - ethnic category 2001 census,Mixed
9i4..,White and Black African - ethnic category 2001 census,Mixed
9i5..,White and Asian - ethnic category 2001 census,Mixed
9i6..,Other Mixed background - ethnic category 2001 census,Mixed
9i60.,Black and Asian - ethnic category 2001 census,Mixed
9i61.,Black and Chinese - ethnic category 2001 census,Mixed
9i62.,Black and White - ethnic category 2001 census,Mixed
9i63.,Chinese and White - ethnic category 2001 census,Mixed
9i64.,Asian and Chinese - ethnic category 2001 census,Mixed
9i65.,Other Mixed or Mixed unspecified ethnic category 2001 census,Mixed
9i7..,Indian or British Indian - ethnic category 2001 census,Asian British
9i8..,Pakistani or British Pakistani - ethnic category 2001 census,Asian British
9i9..,Bangladeshi or British Bangladeshi - ethn categ 2001 census,Asian British
9iA..,Other Asian background - ethnic category 2001 census,Asian British
9iA1.,Punjabi - ethnic category 2001 census,Asian British
9iA2.,Kashmiri - ethnic category 2001 census,Asian British
9iA3.,East African Asian - ethnic category 2001 census,Asian British
9iA4.,Sri Lankan - ethnic category 2001 census,Asian British
9iA5.,Tamil - ethnic category 2001 census,Asian British
9iA6.,Sinhalese - ethnic category 2001 census,Asian British
9iA7.,Caribbean Asian - ethnic category 2001 census,Asian British
9iA8.,British Asian - ethnic category 2001 census,Asian British
9iA9.,Mixed Asian - ethnic category 2001 census,Mixed
9iAA.,Other Asian or Asian unspecified ethnic category 2001 census,Asian British
9iB..,Caribbean - ethnic category 2001 census,Black
9iC..,African - ethnic category 2001 census,Black
9iD..,Other Black background - ethnic category 2001 census,Black
9iD0.,Somali - ethnic category 2001 census,Black
9iD1.,Nigerian - ethnic category 2001 census,Black
9iD2.,Black British - ethnic category 2001 census,Black
9iD3.,Mixed Black - ethnic category 2001 census,Mixed
9iD4.,Other Black or Black unspecified ethnic category 2001 census,Black
9iE..,Chinese - ethnic category 2001 census,Other
9iF..,Other - ethnic category 2001 census,Other
9iF0.,Vietnamese - ethnic category 2001 census,Other
9iF1.,Japanese - ethnic category 2001 census,Other
9iF2.,Filipino - ethnic category 2001 census,Other
9iF3.,Malaysian - ethnic category 2001 census,Other
9iF4.,Buddhist - ethnic category 2001 census,Other
9iF5.,Hindu - ethnic category 2001 census,Other
9iF6.,Jewish - ethnic category 2001 census,Other
9iF7.,Muslim - ethnic category 2001 census,Other
9iF8.,Sikh - ethnic category 2001 census,Other
9iF9.,Arab - ethnic category 2001 census,Other
9iFA.,North African - ethnic category 2001 census,Black
9iFB.,Mid East (excl Israeli  Iranian & Arab) - eth cat 2001 cens,Other
9iFC.,Israeli - ethnic category 2001 census,Other
9iFD.,Iranian - ethnic category 2001 census,Other
9iFE.,Kurdish - ethnic category 2001 census,Other
9iFF.,Moroccan - ethnic category 2001 census,Other
9iFG.,Latin American - ethnic category 2001 census,Other
9iFH.,South and Central American - ethnic category 2001 census,Other
9iFJ.,Mauritian/Seychellois/Maldivian/St Helena eth cat 2001census,Other
9iFK.,Any other group - ethnic category 2001 census,Other
9S1..,White,White
9S10.,White British,White
9S11.,White Irish,White
9S12.,Other white ethnic group,White
9S13.,White Scottish,White
9S14.,Other white British ethnic group,White
9S2..,Black Caribbean,Black
9S2..,Black Caribbean,Black
9S3..,Black African,Black
9S4..,Black other non-mixed origin,Black
9S41.,Black British,Black
9S42.,Black Caribbean,Black
9S42.,Black Caribbean,Black
9S43.,Black Arab,Black
9S43.,Black Arab,Black
9S44.,Black - other African country,Black
9S45.,Black E Afric Asia/Indo-Caribb,Black
9S46.,Black Indian sub-continent,Black
9S47.,Black - other Asian,Black
9S48.,Black Black - other,Black
9S5..,Black - other mixed,Mixed
9S51.,Other Black - Black/White orig,Mixed
9S52.,Other Black - Black/Asian orig,Mixed
9S6..,Indian,Asian British
9S7..,Pakistani,Asian British
9S8..,Bangladeshi,Asian British
9S9..,Chinese,Other
9SA..,Other ethnic non-mixed (NMO),Other
9SA1.,Brit. ethnic minor. spec.(NMO),Other
9SA2.,Brit. ethnic minor. unsp (NMO),Other
9SA3.,Caribbean I./W.I./Guyana (NMO),Black
9SA3.,Caribbean I./W.I./Guyana (NMO),Black
9SA4.,Iranian (NMO),Other
9SA4.,Iranian (NMO),Other
9SA5.,Other African countries (NMO),Black
9SA6.,E Afric Asian/Indo-Carib (NMO),Asian British
9SA6.,E Afric Asian/Indo-Carib (NMO),Asian British
9SA7.,Indian sub-continent (NMO),Asian British
9SA8.,Other Asian (NMO),Asian British
9SA9.,Irish (NMO),White
9SAA.,Greek (NMO),White
9SAA.,Greek (NMO),White
9SAB.,Turkish (NMO),White
9SAB.,Turkish (NMO),White
9SAC.,Other European (NMO),White
9SAD.,Other ethnic NEC (NMO),Other
9SB..,Other ethnic  mixed origin,Mixed
9SB1.,Other ethnic  Black/White orig,Mixed
9SB2.,Other ethnic  Asian/White orig,Mixed
9SB3.,Other ethnic  mixed white orig,Mixed
9SB4.,Other ethnic  other mixed orig,Mixed
9SB5.,Black Caribbean and White,Mixed
9SB6.,Black African and White,Mixed
9SC..,Vietnamese,Other
9SG..,Other black ethnic group,Black
9SH..,Other Asian ethnic group,Asian British
9SI..,Irish traveller,White
9SJ..,Other ethnic group,Other
9t00.,White:Eng/Welsh/Scot/NI/Brit - England and Wales 2011 census,White
9t01.,White: Irish - England and Wales ethnic category 2011 census,White
9t02.,White: Gypsy/Irish Traveller - Eng+Wales eth cat 2011 census,White
9t03.,White: other White backgrd- Eng+Wales ethnic cat 2011 census,White
9t04.,Mixed: White+Black Caribbean - Eng+Wales eth cat 2011 census,Mixed
9t05.,Mixed: White+Black African - Eng+Wales eth cat 2011 census,Mixed
9t06.,Mixed: White+Asian - Eng+Wales ethnic category 2011 census,Mixed
9t07.,Mixed: other Mixed/multiple backgrd - Eng+Wales 2011 census,Mixed
9t08.,Asian/Asian Brit: Indian - Eng+Wales ethnic cat 2011 census,Asian British
9t09.,Asian/Asian British:Pakistani- Eng+Wales eth cat 2011 census,Asian British
9t0A.,Asian/Asian Brit: Bangladeshi- Eng+Wales eth cat 2011 census,Asian British
9t0B.,Asian/Asian Brit: Chinese - Eng+Wales ethnic cat 2011 census,Other
9t0C.,Asian/Asian Brit: other Asian- Eng+Wales eth cat 2011 census,Asian British
9t0D.,Black/African/Carib/Black Brit: African- Eng+Wales 2011 cens,Black
9t0E.,Black/African/Caribbn/Black Brit: Caribbean - Eng+Wales 2011,Black
9t0F.,Black/Afr/Carib/Black Brit: other Black- Eng+Wales 2011 cens,Black
9t0G.,Other ethnic group: Arab - Eng+Wales ethnic cat 2011 census,Other
9t0H.,Other ethnic: any other grp - Eng+Wales eth cat 2011 census,Other
9t10.,White - Northern Ireland ethnic category 2011 census,White
9t11.,Irish Traveller - Northern Ireland ethnic cat 2011 census,White
9T11.,Pakeha,White
9t12.,Mixed: White and Black Caribbean - NI ethnic cat 2011 census,Mixed
9t13.,Mixed: White and Black African - NI ethnic cat 2011 census,Mixed
9t14.,Mixed: White and Asian - NI ethnic category 2011 census,Mixed
9T15.,Cook Island Maori,Other
9t16.,Asian or Asian British: Indian - NI ethnic cat 2011 census,Asian British
9t17.,Asian/Asian British: Pakistani - NI ethnic cat 2011 census,Asian British
9t18.,Asian/Asian British: Bangladeshi - NI ethnic cat 2011 census,Asian British
9t19.,Asian/Asian British: Chinese - NI ethnic cat 2011 census,Other
9t1A.,Asian/Asian British: other Asian - NI ethnic cat 2011 census,Asian British
9t1B.,Black/Afri/Carib/Black Brit: African- NI eth cat 2011 census,Black
9t1C.,Black/Afri/Carib/Black Brit: Caribbean- NI eth cat 2011 cens,Black
9t1D.,Black/Afri/Carib/Black Brit: other - NI eth cat 2011 census,Black
9T1E.,Other Asian,Asian British
9t1F.,Other ethnic group: any other grp- NI ethnic cat 2011 census,Other
9T1Y.,Other New Zealand ethnic group,Other
9T1Z.,New Zealand ethnic group NOS,Other
9t20.,White: Scottish - Scotland ethnic category 2011 census,White
9t21.,White: other British - Scotland ethnic category 2011 census,White
9t22.,White: Irish - Scotland ethnic category 2011 census,White
9t23.,White: Gypsy/Irish Traveller - Scotland ethnic cat 2011 cens,White
9t24.,White: Polish - Scotland ethnic category 2011 census,White
9t25.,White: other White ethnic grp- Scotland ethnic cat 2011 cens,White
9t26.,Mixed/multiple ethnic grps: any- Scot ethnic cat 2011 census,Mixed
